NO,DIST,(mm)
9,KISTWAR,
10,KULGAM,158.2
11,KUPWARA,147.9
12,PULWAMA,91.3
13,PUNCH,44
14,RAJOURI,128.9
15,RAMBAN,256.2
16,RIASI,125.3
17,SAMBA,46
18,SHOPIAN,47.2
19,SRINAGAR,164.3
20,UDHAMPUR,99.7
,STATE : LADAKH (UT),10.9
1,KARGIL,32
2,LEH AND LADAKH,4.3
,SUBDIVISION : WEST,1.6
,RAJASTHAN,
,STATE : RAJASTHAN,2.7
1,BARMER,2.4
2,BIKANER,0.1
3,CHURU,3.6
4,GANGANAGAR,4.6
5,HANUMANGARH,5.6
6,JAISELMER,0.4
7,JALOR,3.3
8,JODHPUR,0.5
9,NAGAUR,0.4
10,PALI,1.9
,SUBDIVISION : EAST,4.1
,RAJASTHAN,
1,AJMER,3.6
2,ALWAR,2.3
3,BANSWARA,0.9
4,BARAN,4.9
5,BHARATPUR,4.3
6,BHILWARA,6.1
7,BUNDI,3.5
8,CHITTAURGARH,4.2
9,DAUSA,10.2
10,DHOLPUR,5.2
11,DUNGARPUR,0
,,
,,
,India Meteorological Department,
,"Hydromet Division, New Delhi",
,,
,,Period:01-03-2024 To 05-04-2024
,MET.,
S,ACTUAL,NORMAL
,SUBDIVISION/UT/STATE/DIS,
NO,(mm),(mm)
,TRICT,
12,JAIPUR,3.1
13,JHALAWAR,2.5
14,JHUNJHUNUN,0.6
15,KARAULI,5
16,KOTA,3.3
17,PRATAPGARH,2.2
18,RAJSMAND,8.3
19,SIKAR,0.9
20,SIROHI,9.5
21,SWAIMADHOPUR,7.7
22,TONK,7.1
23,UDAIPUR,3.5
,SUBDIVISION : WEST,6.7
,MADHYA PRADESH,
,STATE : MADHYA PRADESH,11.7
1,AGAR-MALWA,0.3
2,ALIRAJPUR,0
3,ASHOKNAGAR,9
4,BARWANI,0.2
5,BETUL,8.8
6,BHIND,27.6
7,BHOPAL,6
8,BURHANPUR,6.9
9,DATIA,14.8
10,DEWAS,3.2
11,DHAR,0.3
12,GUNA,1.9
13,GWALIOR,29.6
14,HARDA,4.2
15,INDORE,2.4
16,JHABUA,1.5
17,KHANDWA,2.1
18,KHARGONE,0
19,MANDSAUR,0.1
20,MORENA,14.3
21,NARMADAPURAM,2.7
22,NIMACH,4
23,RAISEN,2.5
24,RAJGARH,0.4
25,RATLAM,0
26,SEHORE,3.6
27,SHAJAPUR,4
28,SHEOPUR,18.4
29,SHIVPURI,29.1
30,UJJAIN,0.2
31,VIDESHA,4.7
,,
,,
,India Meteorological Department,
,"Hydromet Division, New Delhi",
,,
,,Period:01-03-2024 To 05-04-2024
,MET.,
S,ACTUAL,NORMAL
,SUBDIVISION/UT/STATE/DIS,
NO,(mm),(mm)
,TRICT,
,SUBDIVISION : EAST,18.1
,MADHYA PRADESH,
1,ANUPPUR,74.9
2,BALAGHAT,36.1
3,CHHATARPUR,17.2
4,CHHINDWARA,24.8
5,DAMOH,5.9
6,DINDORI,24.9
7,JABALPUR,7.8
8,KATNI,6.7
9,MANDLA,18.8
10,NARSHIMAPURA,3.6
11,NIWARI,55
12,PANNA,14.3
13,REWA,6.7
14,SAGAR,4.9
15,SATNA,9.5
16,SEONI,31
17,SHAHDOL,18.3
18,SIDHI,12.6
19,SINGRAULI,17.5
20,TIKAMGARH,17.4
21,UMARIA,10.5
,SUBDIVISION : GUJARAT,3.8
,REGION,
,STATE : GUJARAT,3.4
1,AHMADABAD,1.7
2,ANAND,1.6
3,ARAVALLI,7.7
4,BANASKANTHA,10.6
5,BHARUCH,0
6,CHHOTA UDEPUR,0
7,DAHOD,2.8
8,DANGS,0
9,GANDHINAGAR,4
10,KHERA,8.7
11,MAHESANA,6
12,MAHISAGAR,3.2
13,NARMADA,3.9
14,NAVSARI,0
15,PANCHMAHAL,4.4
16,PATAN,3.1
17,SABAR KANTHA,7.6
18,SURAT,1.1
19,TAPI,0
20,VADODARA,0
,,
,,
,India Meteorological Department,
,"Hydromet Division, New Delhi",
,,
,,Period:01-03-2024 To 05-04-2024
,MET.,
S,ACTUAL,NORMAL
,SUBDIVISION/UT/STATE/DIS,
NO,(mm),(mm)
,TRICT,
21,VALSAD,0
,STATE : DADRA & NAGAR,0
,HAVELI AND DAMAN & DIU,
,(UT),
1,DADAR & NAGAR HAVELI,
2,DAMAN,0
,SUBDIVISION :,3
,SAURASHTRA & KUTCH,
1,AMRELI,0
2,BHAVNAGAR,0.6
3,BOTAD,0.7
4,DEVBHOOMI DWARKA,5.6
5,DIU,0
6,GIR SOMNATH,0
7,JAMNAGAR,0.4
8,JUNAGARH,0
9,KACHCHH,6.3
10,MORBI,0
11,PORBANDAR,0
12,RAJKOT,1.4
13,SURENDRANAGAR,0.1
,SUBDIVISION : KONKAN &,0.1
,GOA,
,STATE : GOA,0.3
1,NORTH GOA,0
2,SOUTH GOA,0.5
,STATE : MAHARASHTRA,4.7
1,MUMBAI CITY,3.2
2,PALGHAR,0.1
3,RAIGARH,0
4,RATNAGIRI,0
5,SINDHUDURG,0.5
6,SUBURBAN MUMBAI,0
7,THANE,0
,SUBDIVISION : MADHYA,0.5
,MAHARASHTRA,
1,AHMADNAGAR,0
2,DHULE,0.3
3,JALGAON,3.6
4,KOLHAPUR,0
5,NANDURBAR,0
6,NASIK,0
7,PUNE,0.2
8,SANGLI,0
9,SATARA,0.3
10,SOLAPUR,0.1
,,
,,
,India Meteorological Department,
,"Hydromet Division, New Delhi",
,,
,,Period:01-03-2024 To 05-04-2024
,MET.,
S,ACTUAL,NORMAL
,SUBDIVISION/UT/STATE/DIS,
NO,(mm),(mm)
,TRICT,
,SUBDIVISION :,1.5
,MARATHWADA,
1,BID,0
2,CHHATRAPATI,0
,SAMBHAJINAGAR,
3,DHARASHIV,3.5
4,HINGOLI,0
5,JALNA,0
6,LATUR,1.4
7,NANDED,4.4
8,PARBHANI,1.9
,SUBDIVISION : VIDARBHA,13.2
1,AKOLA,0.8
2,AMARAVATI,3.6
3,BHANDARA,13.3
4,BULDHANA,1.3
5,CHANDRAPUR,19.4
6,GADCHIROLI,24.3
7,GONDIYA,11.4
8,NAGPUR,31.3
9,WARDHA,9.5
10,WASHIM,0
11,YAVATMAL,12.5
,SUBDIVISION :,29.3
,CHHATTISGARH,
1,BALARAMPUR,3
2,BALOD,19.1
3,BALODA BAZAR,49.2
4,BASTAR,14.9
5,BEMETARA,45.6
6,BIJAPUR,21.6
7,BILASPUR,54.1
8,DANTEWARA,18.7
9,DHAMTARI,24.9
10,DURG,36.3
11,GARIABAND,39.1
12,JANJGIR_CHAMPA,47
13,JASHPUR,34.9
14,KABIRDHAM,50.2
15,KANKER,23.2
16,KONDAGAON,24.2
17,KORBA,40
18,KOREA,22.5
19,MAHASAMUND,23.8
20,MUNGELI,49.8
21,NARAYANPUR,20
22,RAIGARH,44.8
,,
,,
,India Meteorological Department,
,"Hydromet Division, New Delhi",
,,
,,Period:01-03-2024 To 05-04-2024
,MET.,
S,ACTUAL,NORMAL
,SUBDIVISION/UT/STATE/DIS,
NO,(mm),(mm)
,TRICT,
23,RAIPUR,19.5
24,RAJNANDGAON,24.1
25,SUKMA,0
26,SURAJPUR,40
27,SURGUJA,22.6
,SUBDIVISION : COASTAL AP,7.8
,and YANAM,
1,YANAM,6.8
,STATE : ANDHRA PRADESH,4.4
1,ANAKAPALLI,22.3
2,BAPATLA,0
3,DR B R AMBEDKAR,0
,KONASEEMA,
4,EAST GODAVARI,
5,ELURU,4.2
6,GUNTUR,0
7,KAKINADA,26.3
8,KRISHNA,0
9,NTR DISTRICT,0
10,PALNADU,0
11,PARVATHIPURAM MANYAM,22.9
12,PRAKASAM,0.1
13,SPSR NELLORE,0
14,SRI ALLURI,0.1
,SITHARAMARAJU DISTRICT,
15,SRIKAKULAM,44.2
16,VISHAKHAPATNAM,11.6
17,VIZIANAGARAM,38.6
18,WEST GODAVARI,5.1
,SUBDIVISION : TELANGANA,5.3
1,ADILABAD,17.8
2,B. KOTHAGUDEM,0
3,HANUMAKONDA,1.8
4,HYDERABAD,0.2
5,J. BHUPALPALLY,6
6,JAGTIAL,0.4
7,JANGAON,0.3
8,JOGULAMBA GADWAL,0
9,KAMAREDDY,22.9
10,KARIMNAGAR,16.1
11,KHAMMAM,0
12,KUMARAM BHEEM,20.2
13,M. MALKAJGIRI,1.6
14,MAHABUBABAD,1.3
15,MAHABUBNAGAR,0.1
16,MANCHERIAL,2.4
17,MEDAK,12.8
,,
,,
,India Meteorological Department,
,"Hydromet Division, New Delhi",
,,
,,Period:01-03-2024 To 05-04-2024
,MET.,
S,ACTUAL,NORMAL
,SUBDIVISION/UT/STATE/DIS,
NO,(mm),(mm)
,TRICT,
18,MULUGU,3.5
19,NAGARKURNOOL,0
20,NALGONDA,1.7
21,NARAYANPET,0
22,NIRMAL,3.9
23,NIZAMABAD,7.6
24,PEDDAPALLE,2.7
25,RAJANNA SIRCILLA,22.2
26,RANGAREDDY,0.7
27,SANGAREDDY,10.7
28,SIDDIPET,15.6
29,SURYAPET,0
30,VIKARABAD,1.9
31,WANAPARTHY,0
32,WARANGAL,0.7
33,Y. BHUVANAGIRI,0.5
,SUBDIVISION :,0
,RAYALASEEMA,
1,ANANTAPURAMU,0
2,ANNAMAYYA DISTRICT,0
3,CHITTOOR,0
4,KURNOOL,0
5,NANDYAL,0.1
6,SRI SATHYASAI DISTRICT,0
7,TIRUPATI,0
8,YSR DISTRICT,0
,SUBDIVISION : TN PUDU and,1.7
,KARAIKAL,
,STATE : TAMIL NADU,1.7
1,ARIYALUR,0
2,CHENGALPATTU,0
3,CHENNAI,0
